	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	0.0	136.0	267.0	395.0	787.0	767.0	730.0	1914.0
21_unmap	251.0	0.0	669.0	172.0	449.0	428.0	423.0	299.0
22_unmap	292.0	410.0	0.0	204.0	474.0	462.0	435.0	450.0
24_unmap	353.0	92.0	182.0	0.0	374.0	411.0	324.0	463.0
5_unmap	474.0	148.0	278.0	784.0	0.0	942.0	684.0	563.0
64_unmap	494.0	149.0	283.0	830.0	993.0	0.0	732.0	568.0
7_unmap	467.0	145.0	287.0	1566.0	1797.0	1870.0	0.0	554.0
Uronychia_binucleata_uniq	1027.0	117.0	262.0	369.0	720.0	692.0	651.0	0.0
