	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	0.0	776.0	1041.0	1065.0	1318.0	1376.0	1323.0	2904.0
21_unmap	371.0	0.0	1166.0	232.0	382.0	371.0	375.0	299.0
22_unmap	850.0	2185.0	0.0	525.0	839.0	757.0	871.0	747.0
24_unmap	896.0	427.0	513.0	0.0	1575.0	1673.0	3175.0	832.0
5_unmap	1957.0	1204.0	1271.0	835.0	0.0	2015.0	3661.0	1769.0
64_unmap	1896.0	1133.0	1222.0	900.0	1922.0	0.0	3822.0	1703.0
7_unmap	1788.0	1097.0	1171.0	728.0	1388.0	1490.0	0.0	1596.0
Uronychia_binucleata_uniq	5168.0	1058.0	1481.0	1416.0	1703.0	1679.0	1644.0	0.0
