	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	0.0	1878.0	2637.0	3132.0	4777.0	4727.0	4603.0	13449.0
21_unmap	1425.0	0.0	4316.0	1140.0	2032.0	2023.0	1932.0	1378.0
22_unmap	2407.0	5201.0	0.0	1710.0	2935.0	2798.0	2844.0	2455.0
24_unmap	2740.0	1252.0	1546.0	0.0	72422.0	71371.0	69483.0	2643.0
5_unmap	4903.0	2625.0	3007.0	72090.0	0.0	81522.0	80001.0	4499.0
64_unmap	4795.0	2560.0	2931.0	71017.0	81480.0	0.0	78059.0	4372.0
7_unmap	4576.0	2448.0	2833.0	68277.0	78841.0	76864.0	0.0	4203.0
Uronychia_binucleata_uniq	14865.0	2083.0	3065.0	3296.0	4835.0	4707.0	4589.0	0.0
