	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	0.0	617.0	828.0	1056.0	1577.0	1565.0	1538.0	8006.0
21_unmap	617.0	0.0	2124.0	550.0	848.0	870.0	816.0	552.0
22_unmap	828.0	2124.0	0.0	635.0	975.0	968.0	952.0	774.0
24_unmap	1056.0	550.0	635.0	0.0	70403.0	69219.0	65949.0	939.0
5_unmap	1577.0	848.0	975.0	70403.0	0.0	78493.0	75596.0	1415.0
64_unmap	1565.0	870.0	968.0	69219.0	78493.0	0.0	73450.0	1392.0
7_unmap	1538.0	816.0	952.0	65949.0	75596.0	73450.0	0.0	1394.0
Uronychia_binucleata_uniq	8006.0	552.0	774.0	939.0	1415.0	1392.0	1394.0	0.0
