	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	0.0	349.0	501.0	616.0	1095.0	1019.0	1012.0	625.0
21_unmap	186.0	0.0	357.0	186.0	353.0	354.0	318.0	228.0
22_unmap	437.0	482.0	0.0	346.0	647.0	611.0	586.0	484.0
24_unmap	435.0	183.0	216.0	0.0	70.0	68.0	35.0	409.0
5_unmap	895.0	425.0	483.0	68.0	0.0	72.0	60.0	752.0
64_unmap	840.0	408.0	458.0	68.0	72.0	0.0	55.0	709.0
7_unmap	783.0	390.0	423.0	34.0	60.0	54.0	0.0	659.0
Uronychia_binucleata_uniq	664.0	356.0	548.0	572.0	997.0	944.0	900.0	0.0
