	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
17_unmap	15012	1023	1400	1936	3087	3050	2955	10362
21_unmap	1023	10464	3166	869	1577	1572	1501	1001
22_unmap	1400	3166	8640	1092	1886	1862	1817	1497
24_unmap	1936	869	1092	76666	67631	66738	64246	1925
5_unmap	3087	1577	1886	67631	84958	74522	72343	2956
64_unmap	3050	1572	1862	66738	74522	83631	70732	2897
7_unmap	2955	1501	1817	64246	72343	70732	80751	2828
Uronychia_binucleata_uniq	10362	1001	1497	1925	2956	2897	2828	14724
