Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	32	22
OG0000318	25	22
OG0000319	50	46
OG0000320	52	45
OG0000321	34	26
OG0000322	41	26
OG0000323	36	19
OG0000324	36	28
OG0000325	58	49
OG0000326	39	28
OG0000327	40	34
OG0000328	53	49
OG0000329	32	23
OG0000330	27	18
OG0000331	59	40
OG0000332	38	31
OG0000333	38	28
OG0000334	29	22
OG0000335	47	41
OG0000336	43	38
OG0000337	29	23
OG0000338	26	12
OG0000339	42	34
OG0000340	38	19
OG0000341	48	46
OG0000342	35	30
OG0000343	35	28
OG0000344	49	45
OG0000345	29	20
OG0000346	41	34
OG0000347	24	17
OG0000348	20	11
OG0000349	29	24
OG0000350	32	27
OG0000351	38	34
OG0000352	34	28
OG0000353	37	25
OG0000354	22	16
OG0000355	32	22
OG0000356	61	41
OG0000357	20	12
OG0000358	29	19
OG0000359	23	20
OG0000360	32	26
OG0000361	22	8
OG0000362	33	28
OG0000363	27	16
OG0000364	52	47
OG0000365	33	27
OG0000366	21	11
OG0000367	32	30
OG0000368	77	75
OG0000369	23	13
OG0000370	28	21
OG0000371	20	15
OG0000372	58	52
OG0000373	33	25
OG0000374	23	15
OG0000375	37	28
OG0000376	29	13
OG0000377	25	21
OG0000378	27	15
OG0000379	23	8
OG0000380	23	17
OG0000381	21	12
OG0000382	20	10
OG0000383	33	24
OG0000384	37	24
OG0000385	24	15
OG0000386	24	19
OG0000387	70	60
OG0000388	34	24
OG0000389	22	21
OG0000390	41	37
OG0000391	20	12
OG0000392	23	16
OG0000393	39	26
OG0000394	35	31
OG0000395	20	15
OG0000396	24	9
OG0000397	17	6
OG0000398	29	22
OG0000399	20	10
OG0000400	31	22
OG0000401	24	15
OG0000402	63	52
OG0000403	20	12
OG0000404	27	14
OG0000405	38	35
OG0000406	31	23
OG0000407	26	20
OG0000408	27	25
OG0000409	37	30
OG0000410	24	18
OG0000411	24	13
OG0000412	23	18
OG0000413	76	76
OG0000414	27	18
